% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,1.5E-7,2.0E-6,2.5225755491226374-0.05768496194178506i,2.5225755491226374,6.747879100954723E-11
3.1,1.5E-7,2.0E-6,2.5339566371714692-0.05539554513955322i,2.5339566371714692,6.750390476578797E-11
3.1,1.5E-7,2.0E-6,2.53395736725086-0.05539544552193774i,2.53395736725086,6.750431543057207E-11
3.1,1.5E-7,2.0E-6,2.539557899840505,2.539557899840505,7.360204107197547E-12
3.1,1.5E-7,2.0E-6,2.539558374892051,2.539558374892051,7.359879386827725E-12
3.1,1.5E-7,2.0E-6,2.544714067048796-0.053437884412955786i,2.544714067048796,6.74295297965714E-11
3.1,1.5E-7,2.0E-6,2.5447145360625982-0.0534378096099861i,2.5447145360625982,6.742982319558779E-11
3.1,1.5E-7,2.0E-6,2.5544197506028214-0.051462612302048356i,2.5544197506028214,6.792787603416755E-11
3.1,1.5E-7,2.0E-6,2.554846510982213-0.05183114992509459i,2.554846510982213,6.726940879693233E-11
3.1,1.5E-7,2.0E-6,2.563723789566127-0.050011620240625755i,2.563723789566127,6.834269311651598E-11
3.1,1.5E-7,2.0E-6,2.5637239223915964-0.05001156998681556i,2.5637239223915964,6.834394911520394E-11
3.1,1.5E-7,2.0E-6,2.5719958981567044-0.04852092977650486i,2.5719958981567044,6.887002748826698E-11
3.1,1.5E-7,2.0E-6,2.5719960158120623-0.04852095163848465i,2.5719960158120623,6.887095500516889E-11
3.1,1.5E-7,2.0E-6,2.5791552949790497-0.13923129300514192i,2.5791552949790497,6.936247508227217E-11
3.1,1.5E-7,2.0E-6,2.5792527378628063-0.04699816717287867i,2.5792527378628063,6.782265399790092E-11
3.1,1.5E-7,2.0E-6,2.579511416624217-0.13974823940812478i,2.579511416624217,6.851877468170647E-11
3.1,1.5E-7,2.0E-6,2.5796596895388824-0.04738027804961845i,2.5796596895388824,6.710745369950094E-11
3.1,1.5E-7,2.0E-6,2.583978937512684-0.1387535304304776i,2.583978937512684,6.93733221301354E-11
3.1,1.5E-7,2.0E-6,2.5839798615064504-0.13875663628455173i,2.5839798615064504,6.937509604300023E-11
3.1,1.5E-7,2.0E-6,2.586112846727517-0.04600424597848661i,2.586112846727517,6.880135172473934E-11
3.1,1.5E-7,2.0E-6,2.5861128488487126-0.046004293079623816i,2.5861128488487126,6.880205967670059E-11
3.1,1.5E-7,2.0E-6,2.5877841025698984-0.1381373562032255i,2.5877841025698984,6.945910710090084E-11
3.1,1.5E-7,2.0E-6,2.5877849411264067-0.1381400207797379i,2.5877849411264067,6.946183292636069E-11
3.1,1.5E-7,2.0E-6,2.5905281795543407-0.13740959752121082i,2.5905281795543407,6.724422134017872E-11
3.1,1.5E-7,2.0E-6,2.590918360015595-0.13797225211301947i,2.590918360015595,6.854921302162804E-11
3.1,1.5E-7,2.0E-6,2.5919734041905573-0.044953385658697845i,2.5919734041905573,6.731354824963414E-11
3.1,1.5E-7,2.0E-6,2.5919734769173077-0.04495348422048844i,2.5919734769173077,6.731384415099216E-11
3.1,1.5E-7,2.0E-6,2.5928162171583686-0.1373772337833327i,2.5928162171583686,6.680198340010333E-11
3.1,1.5E-7,2.0E-6,2.5928170852383956-0.13737956962067277i,2.5928170852383956,6.680257281604193E-11
3.1,1.5E-7,2.0E-6,2.594083602187146-0.13716931778885155i,2.594083602187146,3.1437531871272195E-11
